"Country","Happiness.Score","HDI","Population","Unemployment","GDP..2018.international...","Area..km.2.","Electricity.consumption.GW.h.yr.","Gini.Index","Index.of.Economic.Freedom","Median.wealth.per.adult..US.dollars.","Revenues..millions.USD.","Expenditures..millions.USD.","Surplus..or.deficit...millions.USD.","Real.GDP.growth.rate","average.Temperature.F","Education.Index","Natural.Disaster.Risk....","Environmental.Vulnerabilty.Index","CO2.Emissions.per.Capita..metric.tons.","Net.Exports.per.capita.USD","Life.Expectancy.at.Birth","X2019.mortality.rate..under.5..per.1000.live.births.","Overall.mean.BMI..kg.m2.","Democracy.Index","Incarceration.rate.per.100.000.population","Homicides.per.100.000","Ethnic.Fractionalization","Linguistic.Fractionalization","Religious.Fractionalization","Social.progress.index","Healthcare.Efficiency.Index","Marriages.per.1000","Divorces.per.1000","M.D.ratio","Gender.Equality.Index","Religiosity"
"Afghanistan",2.567,"0.511","32890171","11.2","83337636266","652860","6023","N/A","53","640","1992","6636","-4644","-5","54.68","0.398","0.095","289","0.3","14","63.2","60.3","21.6","2.85","87","6.66","0.7693","0.6141","0.2717","42.29","0.325","N/A","N/A","N/A","0.444","0.97"
"Albania",4.883,"0.795","2845955","11.9","39653392851","27400","4849","29","65.2","14731","3486","3765","-279","2.2","52.52","0.715","0.095","330","1.6","424","78","9.7","26.1","6.08","164","2.29","0.2204","0.0399","0.4719","75.41","0.774","8.1","1.7","4.76","0.77","0.5"
"Algeria",5.005,"0.748","44700000","11.5","496200052508","2381741","62062","27.6","49.7","3267","41474","58397","-16923","0.7","72.5","0.658","0.0736","275","3.9","1537","77.1","23.3","26.2","3.77","153","1.36","0.3394","0.4427","0.0091","69.92","0.701","10.1","1.6","6.31","0.633","0.95"
"Argentina",5.975,"0.845","45808747","11.7","1035949340413","2736690","125030","41.2","52.7","3164","126414","170113","-43699","-2.2","58.64","0.808","0.0356","287","4.7","1754","76.6","9.3","27.7","6.95","230","5.32","0.255","0.0618","0.2236","80.66","0.722","N/A","N/A","N/A","0.752","0.65"
"Armenia",4.677,"0.776","2967900","17.5","38417341116","28470","5791","33.6","71.9","8309","2536","2910","-374","4.5","44.87","0.73","0.0607","247","2","551","76","11.8","26.7","5.35","74","1.69","0.1272","0.1291","0.4576","76.46","0.63","6","1","6","0.673","0.79"
"Australia",7.223,"0.944","25766558","7.1","1275026604984","7692020","241020","35.8","82.4","181361","459546","593856","-134310","1.8","70.97","0.939","0.0422","238","16.8","10446","83","3.6","27.2","8.96","160","0.89","0.0929","0.3349","0.8211","91.29","0.876","4.6","2","2.3","0.731","0.32"
"Austria",7.294,"0.922","8933346","5.4","502771138676","82520","66849","30.5","73.9","94070","209667","252524","-42857","1.6","43.43","0.82","0.0339","369","8.2","18897","81.6","3.5","25.4","8.16","95","0.97","0.1068","0.1522","0.4146","89.5","0.959","5.3","1.8","2.94","0.777","0.55"
"Azerbaijan",5.165,"0.756","10122148","6","144573505574","82654","20286","26.6","70.1","5150","9852","10400","-548","2.3","53.51","0.723","0.0554","354","3.5","3186","71.4","20.4","27.4","2.68","208","2.2","0.2047","0.2054","0.4899","64.11","0.626","9.7","1.5","6.47","0.688","0.39"
"Bahrain",6.227,"0.852","1483756","0.8","74287027092","780","27447","N/A","69.9","30946","5463","9281","-3818","1.8","80.87","0.717","0.0169","326","21.8","N/A","75.8","6.9","28.2","2.49","234","0.52","0.5021","0.4344","0.5528","66.6","0.824","N/A","N/A","N/A","0.632","0.94"
"Bangladesh",4.833,"0.632","170352272","4.2","733561248619","130170","70594","32.4","56.5","2787","25971","47569","-21598","3.8","77","0.457","0.1917","340","0.6","195","74.3","30.8","21","5.99","52","2.37","0.0454","0.0925","0.209","55.23","0.675","N/A","N/A","N/A","0.719","1"
