state,prop advanced degree,conservatives,highlow
Massachusetts,0.187,0.17676768,1
Maryland,0.18,0.29946524,1
Connecticut,0.17,0.39572193,1
Virginia,0.161,0.45323741,1
New York,0.154,0.30243902,1
Vermont,0.15,0.31410256,1
New Jersey,0.147,0.35833333,1
Colorado,0.146,0.4,1
New Hampshire,0.138,0.40677966,1
Rhode Island,0.131,0.11607143,1
Illinois,0.13,0.35795455,1
Delaware,0.129,0.38709677,1
Washington,0.127,0.41496599,1
California,0.122,0.23529412,1
Oregon,0.122,0.37777778,1
Minnesota,0.118,0.45685279,1
New Mexico,0.118,0.36036036,1
Pennsylvania,0.118,0.54581673,1
Kansas,0.117,0.68484848,1
Georgia,0.114,0.59322034,1
Michigan,0.11,0.54421769,1
Utah,0.11,0.78846154,1
Maine,0.109,0.39325843,1
Hawaii,0.108,0.07894737,1
Arizona,0.107,0.53333333,1
Missouri,0.107,0.70833333,2
North Carolina,0.106,0.55294118,2
Alaska,0.104,0.6,2
Florida,0.103,0.60126582,2
Nebraska,0.102,0.625,2
Ohio,0.102,0.64393939,2
Montana,0.101,0.58666667,2
Texas,0.099,0.56353591,2
Wisconsin,0.099,0.6328125,2
South Carolina,0.098,0.56149733,2
Kentucky,0.096,0.65217391,2
Tennessee,0.096,0.76515152,2
Wyoming,0.093,0.86516854,2
Indiana,0.092,0.7114094,2
Alabama,0.091,0.73913043,2
Iowa,0.09,0.56666667,2
Idaho,0.085,0.8,2
Oklahoma,0.083,0.78231293,2
South Dakota,0.083,0.84761905,2
Louisiana,0.081,0.66901408,2
Nevada,0.081,0.33333333,2
Mississippi,0.08,0.63690476,2
Arkansas,0.079,0.75,2
West Virginia,0.079,0.58646617,2
North Dakota,0.078,0.82269504,2
