state,conservatives,population ,2010 population,"population
growth rate","relative
population growth rate 
","
white population","
white prop",age,population density,"unauthorized immigrant 
prop of population",immigrant prop,number of immigrants,"unauthorized prop 
of immigrants","GDP per capita
","relative GDP per capita 
","GDP growth 
","relative GDP growth
",unemployment,prop religious,"
voting rate
","Gerrymandering 
","prop high school 
graduate","prop bachelor's 
degree","prop advanced 
degree","
region",X.regionNortheast,X.regionSouth
Alabama,0.73913043478,4903185,4785437,0.02460548535,0.4143069144,3191450,0.6508932459,39.2,95.4,0.012,0.0353,173054,0.34,45219,0.7201098056,0.03217607328,0.8074470545,2.7,0.77,0.470,0.102,0.853,0.245,0.091,South,0,1
Alaska,0.60000000000,731545,713910,0.02470199325,0.4159319134,448081,0.6125132425,34.6,1.3,0.010,0.0769,56273,0.13,73205,1.165785142,0.001707405572,0.04284673236,6.2,0.45,0.548,0.334,0.924,0.29,0.104,West,0,0
Arizona,0.53333333333,7278717,6407172,0.1360264716,2.290412358,3836639,0.5271037464,37.9,58.3,0.039,0.1393,1013821,0.28,48055,0.765272932,0.05531733018,1.388168622,4.6,0.53,0.474,0.032,0.865,0.284,0.107,West,0,0
Arkansas,0.75000000000,3017804,2921964,0.03279985653,0.5522836538,2173307,0.7201617468,38.3,56.9,0.019,0.0463,139849,0.41,42454,0.67607735,0.0249903531,0.627123976,3.6,0.7,0.413,0.074,0.856,0.22,0.079,South,0,1
California,0.23529411765,39512223,37319502,0.05875536603,0.9893222611,14616636,0.3699269464,36.8,246.1,0.056,0.2800,11063422,0.20,74205,1.18171008,0.05301284031,1.330338273,3.9,0.49,0.493,0.004,0.825,0.326,0.122,West,0,0
Colorado,0.40000000000,5758736,5047349,0.1409427008,2.373191776,3822055,0.6636968599,36.9,50.8,0.034,0.1000,575874,0.34,63882,1.017316938,0.05512938683,1.383452251,2.6,0.47,0.614,0.062,0.911,0.394,0.146,West,0,0
Connecticut,0.39572192513,3565287,3579114,-0.003863246602,-0.06504930736,2393694,0.6713888672,41,742.6,0.035,0.1522,542544,0.23,76342,1.215741675,0.02873627102,0.7211264468,3.7,0.43,0.548,0.229,0.902,0.384,0.17,Northeast,1,0
Delaware,0.38709677419,973764,899593,0.08244950772,1.38828398,597917,0.6140266019,40.7,475.1,0.030,0.0968,94235,0.31,77253,1.230249294,0.03903260288,0.9795092133,3.9,0.52,0.512,0.349,0.893,0.31,0.129,South,0,1
Florida,0.60126582278,21477737,18845537,0.1396723267,2.351801229,11288419,0.5255869834,42.2,364.6,0.038,0.2111,4534189,0.18,48318,0.7694611908,0.05351022148,1.342819876,2.9,0.54,0.543,0.044,0.876,0.285,0.103,South,0,1
Georgia,0.59322033898,10617423,9711881,0.09324064,1.569984957,5487048,0.5167965899,36.9,173.7,0.038,0.1056,1120728,0.36,55832,0.8891211807,0.03935009889,0.9874766622,3.2,0.66,0.541,0.082,0.863,0.299,0.114,South,0,1
Hawaii,0.07894736842,1415872,1363963,0.03805748396,0.6408115315,310584,0.2193588121,39.2,218.6,0.033,0.1941,274846,0.17,64096,1.020724875,0.02839726962,0.7126193277,2.7,0.47,0.395,0.074,0.916,0.32,0.108,West,0,0
Idaho,0.80000000000,1787065,1570746,0.1377173649,2.318883602,1407302,0.7874934599,36.6,19.5,0.022,0.0595,106258,0.37,43430,0.6916200902,0.05784111426,1.451502082,2.9,0.51,0.486,0.1337,0.902,0.268,0.085,West,0,0
Illinois,0.35795454545,12671821,12840503,-0.01313671279,-0.2211958376,7834272,0.6182435816,38.3,232,0.032,0.1455,1843174,0.22,67268,1.07123878,0.0261210524,0.6554984704,3.7,0.51,0.515,0.028,0.886,0.334,0.13,Midwest,0,0
Indiana,0.71140939597,6732219,6490432,0.03725283617,0.6272628801,5278785,0.7841077362,37.9,183.4,0.015,0.0517,348218,0.29,55172,0.8786107211,0.03056148546,0.7669295505,3.2,0.54,0.465,0.099,0.883,0.253,0.092,Midwest,0,0
Iowa,0.56666666667,3155070,3050745,0.0341965651,0.5758014186,2701250,0.8561616699,38.2,55.3,0.017,0.0548,173020,0.31,59977,0.9551300518,0.02372427648,0.5953522358,2.8,0.55,0.579,0.156,0.918,0.277,0.09,Midwest,0,0
Kansas,0.68484848485,2913314,2858190,0.01928633156,0.3247430564,2210739,0.7588399328,36.9,35.4,0.026,0.0743,216418,0.35,56334,0.8971154999,0.02780301283,0.6977066662,3.1,0.55,0.511,0.201,0.905,0.323,0.117,Midwest,0,0
Kentucky,0.65217391304,4467673,4348181,0.02748091673,0.462723399,3769995,0.8438386158,38.9,111.3,0.008,0.0364,162461,0.22,46898,0.7468477778,0.03632197158,0.9114868901,4.3,0.63,0.487,0.035,0.852,0.232,0.096,South,0,1
Louisiana,0.66901408451,4648794,4544532,0.02294229637,0.386302155,2739086,0.5892035655,37.2,107.1,0.015,0.0417,193700,0.36,53589,0.853401543,0.01454137068,0.3649104981,5.1,0.71,0.451,0.014,0.843,0.234,0.081,South,0,1
Maine,0.39325842697,1344212,1327629,0.01249068829,0.2103180835,1247090,0.927748004,44.9,43.1,0.004,0.0444,59743,0.09,47969,0.7639033872,0.04895053983,1.228396295,2.9,0.34,0.599,0.039,0.921,0.303,0.109,Northeast,1,0
Maryland,0.29946524064,6045680,5788645,0.04440331027,0.7476624909,3066146,0.5071631314,38.8,610.8,0.045,0.1552,938123,0.29,68573,1.092020825,0.03675315358,0.9223072483,3.5,0.54,0.542,0.116,0.898,0.39,0.18,South,0,1
Massachusetts,0.17676767677,6892503,6566307,0.04967723867,0.836464844,4906564,0.7118696938,39.4,858,0.038,0.1727,1190523,0.22,82480,1.313488949,0.04580287422,1.149406752,2.8,0.33,0.546,0.057,0.903,0.421,0.187,Northeast,1,0
Michigan,0.54421768707,9986857,9877510,0.01107030011,0.1864016016,7476534,0.748637334,39.8,175,0.010,0.0667,665790,0.15,53209,0.8473500663,0.02890916387,0.7254651311,3.9,0.53,0.577,0.132,0.902,0.281,0.11,Midwest,0,0
